文字	面区点	水準	Unicode	UTF16
种	2-82-82	第4水準	U+79CD	0x79CD
秖	2-82-83	第4水準	U+79D6	0x79D6
䅈	2-82-84	第4水準	U+4148	0x4148
𥞩	2-82-85	第4水準	U+257A9	0xD855 0xDFA9
𥞴	2-82-86	第4水準	U+257B4	0xD855 0xDFB4
䅏	2-82-87	第4水準	U+414F	0x414F
稊	2-82-88	第4水準	U+7A0A	0x7A0A
稑	2-82-89	第4水準	U+7A11	0x7A11
稕	2-82-90	第4水準	U+7A15	0x7A15
稛	2-82-91	第4水準	U+7A1B	0x7A1B
稞	2-82-92	第4水準	U+7A1E	0x7A1E
䅣	2-82-93	第4水準	U+4163	0x4163
稭	2-82-94	第4水準	U+7A2D	0x7A2D
稸	2-83-01	第4水準	U+7A38	0x7A38
穇	2-83-02	第4水準	U+7A47	0x7A47
穌	2-83-03	第4水準	U+7A4C	0x7A4C
穖	2-83-04	第4水準	U+7A56	0x7A56
穙	2-83-05	第4水準	U+7A59	0x7A59
穜	2-83-06	第4水準	U+7A5C	0x7A5C
穟	2-83-07	第4水準	U+7A5F	0x7A5F
穠	2-83-08	第4水準	U+7A60	0x7A60
穧	2-83-09	第4水準	U+7A67	0x7A67
穪	2-83-10	第4水準	U+7A6A	0x7A6A
穵	2-83-11	第4水準	U+7A75	0x7A75
穸	2-83-12	第4水準	U+7A78	0x7A78
窂	2-83-13	第4水準	U+7A82	0x7A82
窊	2-83-14	第4水準	U+7A8A	0x7A8A
窐	2-83-15	第4水準	U+7A90	0x7A90
窣	2-83-16	第4水準	U+7AA3	0x7AA3
窬	2-83-17	第4水準	U+7AAC	0x7AAC
𥧔	2-83-18	第4水準	U+259D4	0xD856 0xDDD4
䆴	2-83-19	第4水準	U+41B4	0x41B4
窹	2-83-20	第4水準	U+7AB9	0x7AB9
窼	2-83-21	第4水準	U+7ABC	0x7ABC
窾	2-83-22	第4水準	U+7ABE	0x7ABE
䆿	2-83-23	第4水準	U+41BF	0x41BF
竌	2-83-24	第4水準	U+7ACC	0x7ACC
竑	2-83-25	第4水準	U+7AD1	0x7AD1
竧	2-83-26	第4水準	U+7AE7	0x7AE7
竨	2-83-27	第4水準	U+7AE8	0x7AE8
竴	2-83-28	第4水準	U+7AF4	0x7AF4
𥫤	2-83-29	第4水準	U+25AE4	0xD856 0xDEE4
𥫣	2-83-30	第4水準	U+25AE3	0xD856 0xDEE3
笇	2-83-31	第4水準	U+7B07	0x7B07
𥫱	2-83-32	第4水準	U+25AF1	0xD856 0xDEF1
笽	2-83-33	第4水準	U+7B3D	0x7B3D
笧	2-83-34	第4水準	U+7B27	0x7B27
笪	2-83-35	第4水準	U+7B2A	0x7B2A
笮	2-83-36	第4水準	U+7B2E	0x7B2E
笯	2-83-37	第4水準	U+7B2F	0x7B2F
笱	2-83-38	第4水準	U+7B31	0x7B31
䇦	2-83-39	第4水準	U+41E6	0x41E6
䇳	2-83-40	第4水準	U+41F3	0x41F3
筿	2-83-41	第4水準	U+7B7F	0x7B7F
筁	2-83-42	第4水準	U+7B41	0x7B41
䇮	2-83-43	第4水準	U+41EE	0x41EE
筕	2-83-44	第4水準	U+7B55	0x7B55
筹	2-83-45	第4水準	U+7B79	0x7B79
筤	2-83-46	第4水準	U+7B64	0x7B64
筦	2-83-47	第4水準	U+7B66	0x7B66
筩	2-83-48	第4水準	U+7B69	0x7B69
筳	2-83-49	第4水準	U+7B73	0x7B73
𥮲	2-83-50	第4水準	U+25BB2	0xD856 0xDFB2
䈇	2-83-51	第4水準	U+4207	0x4207
箐	2-83-52	第4水準	U+7B90	0x7B90
箑	2-83-53	第4水準	U+7B91	0x7B91
箛	2-83-54	第4水準	U+7B9B	0x7B9B
䈎	2-83-55	第4水準	U+420E	0x420E
箯	2-83-56	第4水準	U+7BAF	0x7BAF
箵	2-83-57	第4水準	U+7BB5	0x7BB5
箼	2-83-58	第4水準	U+7BBC	0x7BBC
篅	2-83-59	第4水準	U+7BC5	0x7BC5
篊	2-83-60	第4水準	U+7BCA	0x7BCA
𥱋	2-83-61	第4水準	U+25C4B	0xD857 0xDC4B
𥱤	2-83-62	第4水準	U+25C64	0xD857 0xDC64
篔	2-83-63	第4水準	U+7BD4	0x7BD4
篖	2-83-64	第4水準	U+7BD6	0x7BD6
篚	2-83-65	第4水準	U+7BDA	0x7BDA
篪	2-83-66	第4水準	U+7BEA	0x7BEA
篰	2-83-67	第4水準	U+7BF0	0x7BF0
簃	2-83-68	第4水準	U+7C03	0x7C03
簋	2-83-69	第4水準	U+7C0B	0x7C0B
簎	2-83-70	第4水準	U+7C0E	0x7C0E
簏	2-83-71	第4水準	U+7C0F	0x7C0F
簦	2-83-72	第4水準	U+7C26	0x7C26
籅	2-83-73	第4水準	U+7C45	0x7C45
籊	2-83-74	第4水準	U+7C4A	0x7C4A
籑	2-83-75	第4水準	U+7C51	0x7C51
籗	2-83-76	第4水準	U+7C57	0x7C57
籞	2-83-77	第4水準	U+7C5E	0x7C5E
籡	2-83-78	第4水準	U+7C61	0x7C61
籩	2-83-79	第4水準	U+7C69	0x7C69
籮	2-83-80	第4水準	U+7C6E	0x7C6E
籯	2-83-81	第4水準	U+7C6F	0x7C6F
籰	2-83-82	第4水準	U+7C70	0x7C70
𥸮	2-83-83	第4水準	U+25E2E	0xD857 0xDE2E
𥹖	2-83-84	第4水準	U+25E56	0xD857 0xDE56
𥹥	2-83-85	第4水準	U+25E65	0xD857 0xDE65
粦	2-83-86	第4水準	U+7CA6	0x7CA6
𥹢	2-83-87	第4水準	U+25E62	0xD857 0xDE62
粶	2-83-88	第4水準	U+7CB6	0x7CB6
粷	2-83-89	第4水準	U+7CB7	0x7CB7
粿	2-83-90	第4水準	U+7CBF	0x7CBF
𥻘	2-83-91	第4水準	U+25ED8	0xD857 0xDED8
糄	2-83-92	第4水準	U+7CC4	0x7CC4
𥻂	2-83-93	第4水準	U+25EC2	0xD857 0xDEC2
糈	2-83-94	第4水準	U+7CC8	0x7CC8
糍	2-84-01	第4水準	U+7CCD	0x7CCD
𥻨	2-84-02	第4水準	U+25EE8	0xD857 0xDEE8
糗	2-84-03	第4水準	U+7CD7	0x7CD7
𥼣	2-84-04	第4水準	U+25F23	0xD857 0xDF23
糦	2-84-05	第4水準	U+7CE6	0x7CE6
糫	2-84-06	第4水準	U+7CEB	0x7CEB
𥽜	2-84-07	第4水準	U+25F5C	0xD857 0xDF5C
糵	2-84-08	第4水準	U+7CF5	0x7CF5
紃	2-84-09	第4水準	U+7D03	0x7D03
紉	2-84-10	第4水準	U+7D09	0x7D09
䋆	2-84-11	第4水準	U+42C6	0x42C6
紒	2-84-12	第4水準	U+7D12	0x7D12
紞	2-84-13	第4水準	U+7D1E	0x7D1E
𥿠	2-84-14	第4水準	U+25FE0	0xD857 0xDFE0
𥿔	2-84-15	第4水準	U+25FD4	0xD857 0xDFD4
紽	2-84-16	第4水準	U+7D3D	0x7D3D
紾	2-84-17	第4水準	U+7D3E	0x7D3E
絀	2-84-18	第4水準	U+7D40	0x7D40
絇	2-84-19	第4水準	U+7D47	0x7D47
𦀌	2-84-20	第4水準	U+2600C	0xD858 0xDC0C
𥿻	2-84-21	第4水準	U+25FFB	0xD857 0xDFFB
䋖	2-84-22	第4水準	U+42D6	0x42D6
絙	2-84-23	第4水準	U+7D59	0x7D59
絚	2-84-24	第4水準	U+7D5A	0x7D5A
絪	2-84-25	第4水準	U+7D6A	0x7D6A
絰	2-84-26	第4水準	U+7D70	0x7D70
䋝	2-84-27	第4水準	U+42DD	0x42DD
絿	2-84-28	第4水準	U+7D7F	0x7D7F
𦀗	2-84-29	第4水準	U+26017	0xD858 0xDC17
綆	2-84-30	第4水準	U+7D86	0x7D86
綈	2-84-31	第4水準	U+7D88	0x7D88
綌	2-84-32	第4水準	U+7D8C	0x7D8C
綗	2-84-33	第4水準	U+7D97	0x7D97
𦁠	2-84-34	第4水準	U+26060	0xD858 0xDC60
綝	2-84-35	第4水準	U+7D9D	0x7D9D
綧	2-84-36	第4水準	U+7DA7	0x7DA7
綪	2-84-37	第4水準	U+7DAA	0x7DAA
綶	2-84-38	第4水準	U+7DB6	0x7DB6
綷	2-84-39	第4水準	U+7DB7	0x7DB7
緀	2-84-40	第4水準	U+7DC0	0x7DC0
緗	2-84-41	第4水準	U+7DD7	0x7DD7
緙	2-84-42	第4水準	U+7DD9	0x7DD9
緦	2-84-43	第4水準	U+7DE6	0x7DE6
緱	2-84-44	第4水準	U+7DF1	0x7DF1
緹	2-84-45	第4水準	U+7DF9	0x7DF9
䌂	2-84-46	第4水準	U+4302	0x4302
𦃭	2-84-47	第4水準	U+260ED	0xD858 0xDCED
縉	2-84-48	第4水準	U+FA58	0xFA58
縐	2-84-49	第4水準	U+7E10	0x7E10
縗	2-84-50	第4水準	U+7E17	0x7E17
縝	2-84-51	第4水準	U+7E1D	0x7E1D
縠	2-84-52	第4水準	U+7E20	0x7E20
縧	2-84-53	第4水準	U+7E27	0x7E27
縬	2-84-54	第4水準	U+7E2C	0x7E2C
繅	2-84-55	第4水準	U+7E45	0x7E45
繳	2-84-56	第4水準	U+7E73	0x7E73
繵	2-84-57	第4水準	U+7E75	0x7E75
繾	2-84-58	第4水準	U+7E7E	0x7E7E
纆	2-84-59	第4水準	U+7E86	0x7E86
纇	2-84-60	第4水準	U+7E87	0x7E87
䌫	2-84-61	第4水準	U+432B	0x432B
纑	2-84-62	第4水準	U+7E91	0x7E91
纘	2-84-63	第4水準	U+7E98	0x7E98
纚	2-84-64	第4水準	U+7E9A	0x7E9A
䍃	2-84-65	第4水準	U+4343	0x4343
缼	2-84-66	第4水準	U+7F3C	0x7F3C
缻	2-84-67	第4水準	U+7F3B	0x7F3B
缾	2-84-68	第4水準	U+7F3E	0x7F3E
罃	2-84-69	第4水準	U+7F43	0x7F43
罄	2-84-70	第4水準	U+7F44	0x7F44
罏	2-84-71	第4水準	U+7F4F	0x7F4F
㓁	2-84-72	第4水準	U+34C1	0x34C1
𦉰	2-84-73	第4水準	U+26270	0xD858 0xDE70
罒	2-84-74	第4水準	U+7F52	0x7F52
𦊆	2-84-75	第4水準	U+26286	0xD858 0xDE86
罡	2-84-76	第4水準	U+7F61	0x7F61
罣	2-84-77	第4水準	U+7F63	0x7F63
罤	2-84-78	第4水準	U+7F64	0x7F64
罭	2-84-79	第4水準	U+7F6D	0x7F6D
罽	2-84-80	第4水準	U+7F7D	0x7F7D
罾	2-84-81	第4水準	U+7F7E	0x7F7E
𦍌	2-84-82	第4水準	U+2634C	0xD858 0xDF4C
羐	2-84-83	第4水準	U+7F90	0x7F90
养	2-84-84	第4水準	U+517B	0x517B
𣴎	2-84-85	第4水準	U+23D0E	0xD84F 0xDD0E
羖	2-84-86	第4水準	U+7F96	0x7F96
羜	2-84-87	第4水準	U+7F9C	0x7F9C
羭	2-84-88	第4水準	U+7FAD	0x7FAD
𦐂	2-84-89	第4水準	U+26402	0xD859 0xDC02
翃	2-84-90	第4水準	U+7FC3	0x7FC3
翏	2-84-91	第4水準	U+7FCF	0x7FCF
翣	2-84-92	第4水準	U+7FE3	0x7FE3
翥	2-84-93	第4水準	U+7FE5	0x7FE5
翯	2-84-94	第4水準	U+7FEF	0x7FEF
翲	2-85-01	第4水準	U+7FF2	0x7FF2
耂	2-85-02	第4水準	U+8002	0x8002
耊	2-85-03	第4水準	U+800A	0x800A
耈	2-85-04	第4水準	U+8008	0x8008
耎	2-85-05	第4水準	U+800E	0x800E
耑	2-85-06	第4水準	U+8011	0x8011
耖	2-85-07	第4水準	U+8016	0x8016
耤	2-85-08	第4水準	U+8024	0x8024
耬	2-85-09	第4水準	U+802C	0x802C
耰	2-85-10	第4水準	U+8030	0x8030
聃	2-85-11	第4水準	U+8043	0x8043
聦	2-85-12	第4水準	U+8066	0x8066
聱	2-85-13	第4水準	U+8071	0x8071
聵	2-85-14	第4水準	U+8075	0x8075
聻	2-85-15	第4水準	U+807B	0x807B
肙	2-85-16	第4水準	U+8099	0x8099
肜	2-85-17	第4水準	U+809C	0x809C
肤	2-85-18	第4水準	U+80A4	0x80A4
肧	2-85-19	第4水準	U+80A7	0x80A7
肸	2-85-20	第4水準	U+80B8	0x80B8
𦙾	2-85-21	第4水準	U+2667E	0xD859 0xDE7E
胅	2-85-22	第4水準	U+80C5	0x80C5
胕	2-85-23	第4水準	U+80D5	0x80D5
胘	2-85-24	第4水準	U+80D8	0x80D8
胦	2-85-25	第4水準	U+80E6	0x80E6
𦚰	2-85-26	第4水準	U+266B0	0xD859 0xDEB0
脍	2-85-27	第4水準	U+810D	0x810D
胵	2-85-28	第4水準	U+80F5	0x80F5
胻	2-85-29	第4水準	U+80FB	0x80FB
䏮	2-85-30	第4水準	U+43EE	0x43EE
脵	2-85-31	第4水準	U+8135	0x8135
脖	2-85-32	第4水準	U+8116	0x8116
脞	2-85-33	第4水準	U+811E	0x811E
䏰	2-85-34	第4水準	U+43F0	0x43F0
脤	2-85-35	第4水準	U+8124	0x8124
脧	2-85-36	第4水準	U+8127	0x8127
脬	2-85-37	第4水準	U+812C	0x812C
𦜝	2-85-38	第4水準	U+2671D	0xD859 0xDF1D
脽	2-85-39	第4水準	U+813D	0x813D
䐈	2-85-40	第4水準	U+4408	0x4408
腩	2-85-41	第4水準	U+8169	0x8169
䐗	2-85-42	第4水準	U+4417	0x4417
膁	2-85-43	第4水準	U+8181	0x8181
䐜	2-85-44	第4水準	U+441C	0x441C
膄	2-85-45	第4水準	U+8184	0x8184
膅	2-85-46	第4水準	U+8185	0x8185
䐢	2-85-47	第4水準	U+4422	0x4422
膘	2-85-48	第4水準	U+8198	0x8198
膲	2-85-49	第4水準	U+81B2	0x81B2
臁	2-85-50	第4水準	U+81C1	0x81C1
臃	2-85-51	第4水準	U+81C3	0x81C3
臖	2-85-52	第4水準	U+81D6	0x81D6
臛	2-85-53	第4水準	U+81DB	0x81DB
𦣝	2-85-54	第4水準	U+268DD	0xD85A 0xDCDD
臤	2-85-55	第4水準	U+81E4	0x81E4
𦣪	2-85-56	第4水準	U+268EA	0xD85A 0xDCEA
臬	2-85-57	第4水準	U+81EC	0x81EC
𦥑	2-85-58	第4水準	U+26951	0xD85A 0xDD51
臽	2-85-59	第4水準	U+81FD	0x81FD
臿	2-85-60	第4水準	U+81FF	0x81FF
𦥯	2-85-61	第4水準	U+2696F	0xD85A 0xDD6F
舄	2-85-62	第4水準	U+8204	0x8204
𦧝	2-85-63	第4水準	U+269DD	0xD85A 0xDDDD
舙	2-85-64	第4水準	U+8219	0x8219
舡	2-85-65	第4水準	U+8221	0x8221
舢	2-85-66	第4水準	U+8222	0x8222
𦨞	2-85-67	第4水準	U+26A1E	0xD85A 0xDE1E
舲	2-85-68	第4水準	U+8232	0x8232
舴	2-85-69	第4水準	U+8234	0x8234
舼	2-85-70	第4水準	U+823C	0x823C
艆	2-85-71	第4水準	U+8246	0x8246
艉	2-85-72	第4水準	U+8249	0x8249
艅	2-85-73	第4水準	U+8245	0x8245
𦩘	2-85-74	第4水準	U+26A58	0xD85A 0xDE58
艋	2-85-75	第4水準	U+824B	0x824B
䑶	2-85-76	第4水準	U+4476	0x4476
艏	2-85-77	第4水準	U+824F	0x824F
䑺	2-85-78	第4水準	U+447A	0x447A
艗	2-85-79	第4水準	U+8257	0x8257
𦪌	2-85-80	第4水準	U+26A8C	0xD85A 0xDE8C
艜	2-85-81	第4水準	U+825C	0x825C
艣	2-85-82	第4水準	U+8263	0x8263
𦪷	2-85-83	第4水準	U+26AB7	0xD85A 0xDEB7
艹	2-85-84	第4水準	U+FA5D	0xFA5D
艹	2-85-85	第4水準	U+FA5E	0xFA5E
艹	2-85-86	第4水準	U+8279	0x8279
䒑	2-85-87	第4水準	U+4491	0x4491
艽	2-85-88	第4水準	U+827D	0x827D
艿	2-85-89	第4水準	U+827F	0x827F
芃	2-85-90	第4水準	U+8283	0x8283
芊	2-85-91	第4水準	U+828A	0x828A
芓	2-85-92	第4水準	U+8293	0x8293
芧	2-85-93	第4水準	U+82A7	0x82A7
芨	2-85-94	第4水準	U+82A8	0x82A8
芲	2-86-01	第4水準	U+82B2	0x82B2
芴	2-86-02	第4水準	U+82B4	0x82B4
芺	2-86-03	第4水準	U+82BA	0x82BA
芼	2-86-04	第4水準	U+82BC	0x82BC
苢	2-86-05	第4水準	U+82E2	0x82E2
苨	2-86-06	第4水準	U+82E8	0x82E8
苷	2-86-07	第4水準	U+82F7	0x82F7
茇	2-86-08	第4水準	U+8307	0x8307
茈	2-86-09	第4水準	U+8308	0x8308
茌	2-86-10	第4水準	U+830C	0x830C
荔	2-86-11	第4水準	U+8354	0x8354
茛	2-86-12	第4水準	U+831B	0x831B
茝	2-86-13	第4水準	U+831D	0x831D
茰	2-86-14	第4水準	U+8330	0x8330
茼	2-86-15	第4水準	U+833C	0x833C
荄	2-86-16	第4水準	U+8344	0x8344
荗	2-86-17	第4水準	U+8357	0x8357
䒾	2-86-18	第4水準	U+44BE	0x44BE
荿	2-86-19	第4水準	U+837F	0x837F
䓔	2-86-20	第4水準	U+44D4	0x44D4
䒳	2-86-21	第4水準	U+44B3	0x44B3
莍	2-86-22	第4水準	U+838D	0x838D
莔	2-86-23	第4水準	U+8394	0x8394
莕	2-86-24	第4水準	U+8395	0x8395
莛	2-86-25	第4水準	U+839B	0x839B
莝	2-86-26	第4水準	U+839D	0x839D
菉	2-86-27	第4水準	U+83C9	0x83C9
菐	2-86-28	第4水準	U+83D0	0x83D0
菔	2-86-29	第4水準	U+83D4	0x83D4
菝	2-86-30	第4水準	U+83DD	0x83DD
菥	2-86-31	第4水準	U+83E5	0x83E5
菹	2-86-32	第4水準	U+83F9	0x83F9
萏	2-86-33	第4水準	U+840F	0x840F
萑	2-86-34	第4水準	U+8411	0x8411
萕	2-86-35	第4水準	U+8415	0x8415
𦱳	2-86-36	第4水準	U+26C73	0xD85B 0xDC73
萗	2-86-37	第4水準	U+8417	0x8417
萹	2-86-38	第4水準	U+8439	0x8439
葊	2-86-39	第4水準	U+844A	0x844A
葏	2-86-40	第4水準	U+844F	0x844F
葑	2-86-41	第4水準	U+8451	0x8451
葒	2-86-42	第4水準	U+8452	0x8452
葙	2-86-43	第4水準	U+8459	0x8459
葚	2-86-44	第4水準	U+845A	0x845A
葜	2-86-45	第4水準	U+845C	0x845C
𦳝	2-86-46	第4水準	U+26CDD	0xD85B 0xDCDD
葥	2-86-47	第4水準	U+8465	0x8465
葶	2-86-48	第4水準	U+8476	0x8476
葸	2-86-49	第4水準	U+8478	0x8478
葼	2-86-50	第4水準	U+847C	0x847C
蒁	2-86-51	第4水準	U+8481	0x8481
䔍	2-86-52	第4水準	U+450D	0x450D
蓜	2-86-53	第4水準	U+84DC	0x84DC
蒗	2-86-54	第4水準	U+8497	0x8497
蒦	2-86-55	第4水準	U+84A6	0x84A6
蒾	2-86-56	第4水準	U+84BE	0x84BE
䔈	2-86-57	第4水準	U+4508	0x4508
蓎	2-86-58	第4水準	U+84CE	0x84CE
蓏	2-86-59	第4水準	U+84CF	0x84CF
蓓	2-86-60	第4水準	U+84D3	0x84D3
𦹥	2-86-61	第4水準	U+26E65	0xD85B 0xDE65
蓧	2-86-62	第4水準	U+84E7	0x84E7
蓪	2-86-63	第4水準	U+84EA	0x84EA
蓯	2-86-64	第4水準	U+84EF	0x84EF
蓰	2-86-65	第4水準	U+84F0	0x84F0
蓱	2-86-66	第4水準	U+84F1	0x84F1
蓺	2-86-67	第4水準	U+84FA	0x84FA
蓽	2-86-68	第4水準	U+84FD	0x84FD
蔌	2-86-69	第4水準	U+850C	0x850C
蔛	2-86-70	第4水準	U+851B	0x851B
蔤	2-86-71	第4水準	U+8524	0x8524
蔥	2-86-72	第4水準	U+8525	0x8525
蔫	2-86-73	第4水準	U+852B	0x852B
蔴	2-86-74	第4水準	U+8534	0x8534
蕏	2-86-75	第4水準	U+854F	0x854F
蕯	2-86-76	第4水準	U+856F	0x856F
䔥	2-86-77	第4水準	U+4525	0x4525
䕃	2-86-78	第4水準	U+4543	0x4543
蔾	2-86-79	第4水準	U+853E	0x853E
蕑	2-86-80	第4水準	U+8551	0x8551
蕓	2-86-81	第4水準	U+8553	0x8553
蕞	2-86-82	第4水準	U+855E	0x855E
蕡	2-86-83	第4水準	U+8561	0x8561
蕢	2-86-84	第4水準	U+8562	0x8562
𦾔	2-86-85	第4水準	U+26F94	0xD85B 0xDF94
蕻	2-86-86	第4水準	U+857B	0x857B
蕽	2-86-87	第4水準	U+857D	0x857D
蕿	2-86-88	第4水準	U+857F	0x857F
薁	2-86-89	第4水準	U+8581	0x8581
薆	2-86-90	第4水準	U+8586	0x8586
薓	2-86-91	第4水準	U+8593	0x8593
薝	2-86-92	第4水準	U+859D	0x859D
薟	2-86-93	第4水準	U+859F	0x859F
𦿸	2-86-94	第4水準	U+26FF8	0xD85B 0xDFF8
𦿶	2-87-01	第4水準	U+26FF6	0xD85B 0xDFF6
𦿷	2-87-02	第4水準	U+26FF7	0xD85B 0xDFF7
薷	2-87-03	第4水準	U+85B7	0x85B7
薼	2-87-04	第4水準	U+85BC	0x85BC
藇	2-87-05	第4水準	U+85C7	0x85C7
藊	2-87-06	第4水準	U+85CA	0x85CA
藘	2-87-07	第4水準	U+85D8	0x85D8
藙	2-87-08	第4水準	U+85D9	0x85D9
藟	2-87-09	第4水準	U+85DF	0x85DF
藡	2-87-10	第4水準	U+85E1	0x85E1
藦	2-87-11	第4水準	U+85E6	0x85E6
藶	2-87-12	第4水準	U+85F6	0x85F6
蘀	2-87-13	第4水準	U+8600	0x8600
蘑	2-87-14	第4水準	U+8611	0x8611
蘞	2-87-15	第4水準	U+861E	0x861E
蘡	2-87-16	第4水準	U+8621	0x8621
蘤	2-87-17	第4水準	U+8624	0x8624
蘧	2-87-18	第4水準	U+8627	0x8627
𧄍	2-87-19	第4水準	U+2710D	0xD85C 0xDD0D
蘹	2-87-20	第4水準	U+8639	0x8639
蘼	2-87-21	第4水準	U+863C	0x863C
𧄹	2-87-22	第4水準	U+27139	0xD85C 0xDD39
虀	2-87-23	第4水準	U+8640	0x8640
蘒	2-87-24	第4水準	U+FA20	0xFA20
虓	2-87-25	第4水準	U+8653	0x8653
虖	2-87-26	第4水準	U+8656	0x8656
虯	2-87-27	第4水準	U+866F	0x866F
虷	2-87-28	第4水準	U+8677	0x8677
虺	2-87-29	第4水準	U+867A	0x867A
蚇	2-87-30	第4水準	U+8687	0x8687
蚉	2-87-31	第4水準	U+8689	0x8689
蚍	2-87-32	第4水準	U+868D	0x868D
蚑	2-87-33	第4水準	U+8691	0x8691
蚜	2-87-34	第4水準	U+869C	0x869C
蚝	2-87-35	第4水準	U+869D	0x869D
蚨	2-87-36	第4水準	U+86A8	0x86A8
﨡	2-87-37	第4水準	U+FA21	0xFA21
蚱	2-87-38	第4水準	U+86B1	0x86B1
蚳	2-87-39	第4水準	U+86B3	0x86B3
蛁	2-87-40	第4水準	U+86C1	0x86C1
蛃	2-87-41	第4水準	U+86C3	0x86C3
蛑	2-87-42	第4水準	U+86D1	0x86D1
蛕	2-87-43	第4水準	U+86D5	0x86D5
蛗	2-87-44	第4水準	U+86D7	0x86D7
蛣	2-87-45	第4水準	U+86E3	0x86E3
蛦	2-87-46	第4水準	U+86E6	0x86E6
䖸	2-87-47	第4水準	U+45B8	0x45B8
蜅	2-87-48	第4水準	U+8705	0x8705
蜇	2-87-49	第4水準	U+8707	0x8707
蜎	2-87-50	第4水準	U+870E	0x870E
蜐	2-87-51	第4水準	U+8710	0x8710
蜓	2-87-52	第4水準	U+8713	0x8713
蜙	2-87-53	第4水準	U+8719	0x8719
蜟	2-87-54	第4水準	U+871F	0x871F
蜡	2-87-55	第4水準	U+8721	0x8721
蜣	2-87-56	第4水準	U+8723	0x8723
蜱	2-87-57	第4水準	U+8731	0x8731
蜺	2-87-58	第4水準	U+873A	0x873A
蜾	2-87-59	第4水準	U+873E	0x873E
蝀	2-87-60	第4水準	U+8740	0x8740
蝃	2-87-61	第4水準	U+8743	0x8743
蝑	2-87-62	第4水準	U+8751	0x8751
蝘	2-87-63	第4水準	U+8758	0x8758
蝤	2-87-64	第4水準	U+8764	0x8764
蝥	2-87-65	第4水準	U+8765	0x8765
蝲	2-87-66	第4水準	U+8772	0x8772
蝼	2-87-67	第4水準	U+877C	0x877C
𧏛	2-87-68	第4水準	U+273DB	0xD85C 0xDFDB
𧏚	2-87-69	第4水準	U+273DA	0xD85C 0xDFDA
螧	2-87-70	第4水準	U+87A7	0x87A7
螉	2-87-71	第4水準	U+8789	0x8789
螋	2-87-72	第4水準	U+878B	0x878B
螓	2-87-73	第4水準	U+8793	0x8793
螠	2-87-74	第4水準	U+87A0	0x87A0
𧏾	2-87-75	第4水準	U+273FE	0xD85C 0xDFFE
䗥	2-87-76	第4水準	U+45E5	0x45E5
螾	2-87-77	第4水準	U+87BE	0x87BE
𧐐	2-87-78	第4水準	U+27410	0xD85D 0xDC10
蟁	2-87-79	第4水準	U+87C1	0x87C1
蟎	2-87-80	第4水準	U+87CE	0x87CE
蟵	2-87-81	第4水準	U+87F5	0x87F5
蟟	2-87-82	第4水準	U+87DF	0x87DF
𧑉	2-87-83	第4水準	U+27449	0xD85D 0xDC49
蟣	2-87-84	第4水準	U+87E3	0x87E3
蟥	2-87-85	第4水準	U+87E5	0x87E5
蟦	2-87-86	第4水準	U+87E6	0x87E6
蟪	2-87-87	第4水準	U+87EA	0x87EA
蟫	2-87-88	第4水準	U+87EB	0x87EB
蟭	2-87-89	第4水準	U+87ED	0x87ED
蠁	2-87-90	第4水準	U+8801	0x8801
蠃	2-87-91	第4水準	U+8803	0x8803
蠋	2-87-92	第4水準	U+880B	0x880B
蠓	2-87-93	第4水準	U+8813	0x8813
蠨	2-87-94	第4水準	U+8828	0x8828
蠮	2-88-01	第4水準	U+882E	0x882E
蠲	2-88-02	第4水準	U+8832	0x8832
蠼	2-88-03	第4水準	U+883C	0x883C
䘏	2-88-04	第4水準	U+460F	0x460F
衊	2-88-05	第4水準	U+884A	0x884A
衘	2-88-06	第4水準	U+8858	0x8858
衟	2-88-07	第4水準	U+885F	0x885F
衤	2-88-08	第4水準	U+8864	0x8864
𧘕	2-88-09	第4水準	U+27615	0xD85D 0xDE15
𧘔	2-88-10	第4水準	U+27614	0xD85D 0xDE14
衩	2-88-11	第4水準	U+8869	0x8869
𧘱	2-88-12	第4水準	U+27631	0xD85D 0xDE31
衯	2-88-13	第4水準	U+886F	0x886F
袠	2-88-14	第4水準	U+88A0	0x88A0
袼	2-88-15	第4水準	U+88BC	0x88BC
袽	2-88-16	第4水準	U+88BD	0x88BD
袾	2-88-17	第4水準	U+88BE	0x88BE
裀	2-88-18	第4水準	U+88C0	0x88C0
裒	2-88-19	第4水準	U+88D2	0x88D2
𧚓	2-88-20	第4水準	U+27693	0xD85D 0xDE93
裑	2-88-21	第4水準	U+88D1	0x88D1
裓	2-88-22	第4水準	U+88D3	0x88D3
裛	2-88-23	第4水準	U+88DB	0x88DB
裰	2-88-24	第4水準	U+88F0	0x88F0
裱	2-88-25	第4水準	U+88F1	0x88F1
䙁	2-88-26	第4水準	U+4641	0x4641
褁	2-88-27	第4水準	U+8901	0x8901
𧜎	2-88-28	第4水準	U+2770E	0xD85D 0xDF0E
褷	2-88-29	第4水準	U+8937	0x8937
𧜣	2-88-30	第4水準	U+27723	0xD85D 0xDF23
襂	2-88-31	第4水準	U+8942	0x8942
襅	2-88-32	第4水準	U+8945	0x8945
襉	2-88-33	第4水準	U+8949	0x8949
𧝒	2-88-34	第4水準	U+27752	0xD85D 0xDF52
䙥	2-88-35	第4水準	U+4665	0x4665
襢	2-88-36	第4水準	U+8962	0x8962
覀	2-88-37	第4水準	U+8980	0x8980
