文字	面区点	水準	Unicode	UTF16
𣷺	2-78-62	第4水準	U+23DFA	0xD84F 0xDDFA
𣷹	2-78-63	第4水準	U+23DF9	0xD84F 0xDDF9
𣷓	2-78-64	第4水準	U+23DD3	0xD84F 0xDDD3
涫	2-78-65	第4水準	U+6DAB	0x6DAB
涮	2-78-66	第4水準	U+6DAE	0x6DAE
涴	2-78-67	第4水準	U+6DB4	0x6DB4
淂	2-78-68	第4水準	U+6DC2	0x6DC2
洴	2-78-69	第4水準	U+6D34	0x6D34
淈	2-78-70	第4水準	U+6DC8	0x6DC8
淎	2-78-71	第4水準	U+6DCE	0x6DCE
淏	2-78-72	第4水準	U+6DCF	0x6DCF
淐	2-78-73	第4水準	U+6DD0	0x6DD0
淟	2-78-74	第4水準	U+6DDF	0x6DDF
淩	2-78-75	第4水準	U+6DE9	0x6DE9
淶	2-78-76	第4水準	U+6DF6	0x6DF6
渶	2-78-77	第4水準	U+6E36	0x6E36
渞	2-78-78	第4水準	U+6E1E	0x6E1E
渢	2-78-79	第4水準	U+6E22	0x6E22
渧	2-78-80	第4水準	U+6E27	0x6E27
㴑	2-78-81	第4水準	U+3D11	0x3D11
渲	2-78-82	第4水準	U+6E32	0x6E32
渼	2-78-83	第4水準	U+6E3C	0x6E3C
湈	2-78-84	第4水準	U+6E48	0x6E48
湉	2-78-85	第4水準	U+6E49	0x6E49
湋	2-78-86	第4水準	U+6E4B	0x6E4B
湌	2-78-87	第4水準	U+6E4C	0x6E4C
湏	2-78-88	第4水準	U+6E4F	0x6E4F
湑	2-78-89	第4水準	U+6E51	0x6E51
湓	2-78-90	第4水準	U+6E53	0x6E53
湔	2-78-91	第4水準	U+6E54	0x6E54
湗	2-78-92	第4水準	U+6E57	0x6E57
湣	2-78-93	第4水準	U+6E63	0x6E63
㴞	2-78-94	第4水準	U+3D1E	0x3D1E
溓	2-79-01	第4水準	U+6E93	0x6E93
溧	2-79-02	第4水準	U+6EA7	0x6EA7
溴	2-79-03	第4水準	U+6EB4	0x6EB4
溿	2-79-04	第4水準	U+6EBF	0x6EBF
滃	2-79-05	第4水準	U+6EC3	0x6EC3
滊	2-79-06	第4水準	U+6ECA	0x6ECA
滙	2-79-07	第4水準	U+6ED9	0x6ED9
漵	2-79-08	第4水準	U+6F35	0x6F35
滫	2-79-09	第4水準	U+6EEB	0x6EEB
滹	2-79-10	第4水準	U+6EF9	0x6EF9
滻	2-79-11	第4水準	U+6EFB	0x6EFB
漊	2-79-12	第4水準	U+6F0A	0x6F0A
漌	2-79-13	第4水準	U+6F0C	0x6F0C
漘	2-79-14	第4水準	U+6F18	0x6F18
漥	2-79-15	第4水準	U+6F25	0x6F25
